point	title	description	icon	iconSize	iconOffset
42.918606,-2.047806			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918611,-2.047839			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918616,-2.047872			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918621,-2.047904			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918627,-2.047937			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918633,-2.047971			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91864,-2.048007			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918646,-2.048042			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918654,-2.048077			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918663,-2.048112			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918672,-2.048146			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918681,-2.048181			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91869,-2.048215			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.9187,-2.04825			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918711,-2.048283			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918723,-2.048316			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918735,-2.048348			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918746,-2.048381			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918758,-2.048414			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91877,-2.048447			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918782,-2.04848			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918794,-2.048513			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918806,-2.048546			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918817,-2.048579			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918829,-2.048612			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918841,-2.048645			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918851,-2.048679			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91886,-2.048713			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918871,-2.048747			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918883,-2.04878			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918895,-2.048813			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918907,-2.048846			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918919,-2.048878			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918931,-2.048911			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918942,-2.048944			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918954,-2.048977			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918966,-2.04901			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.918978,-2.049043			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91899,-2.049075			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919002,-2.049108			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919015,-2.04914			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919029,-2.049172			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919043,-2.049203			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919057,-2.049235			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919071,-2.049266			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919085,-2.049298			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919098,-2.049329			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919112,-2.049361			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919126,-2.049393			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91914,-2.049424			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919154,-2.049456			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919168,-2.049487			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919181,-2.049519			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919195,-2.04955			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919209,-2.049582			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919223,-2.049613			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919236,-2.049645			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91925,-2.049677			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919263,-2.049709			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919277,-2.04974			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919291,-2.049772			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919305,-2.049803			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91932,-2.049833			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919335,-2.049864			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91935,-2.049894			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919365,-2.049925			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91938,-2.049955			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919395,-2.049986			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91941,-2.050017			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919425,-2.050047			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91944,-2.050078			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919455,-2.050108			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91947,-2.050139			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919485,-2.050169			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.9195,-2.0502			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919516,-2.050229			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919534,-2.050257			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919551,-2.050285			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919568,-2.050313			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919586,-2.050342			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919603,-2.05037			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91962,-2.050398			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919638,-2.050426			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919655,-2.050454			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919672,-2.050482			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91969,-2.05051			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919707,-2.050539			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919724,-2.050567			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919743,-2.050593			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919764,-2.050616			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919785,-2.050639			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919806,-2.050661			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919828,-2.050684			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919849,-2.050707			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.91987,-2.05073			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919891,-2.050752			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919913,-2.050775			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919934,-2.050797			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919958,-2.050815			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.919982,-2.050831			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920006,-2.050848			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.92003,-2.050864			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920054,-2.05088			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920078,-2.050897			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920103,-2.050913			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920127,-2.050929			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920151,-2.050946			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920175,-2.050962			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920199,-2.050978			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920223,-2.050995			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920248,-2.051011			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920272,-2.051028			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920296,-2.051044			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.92032,-2.051061			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920344,-2.051078			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920368,-2.051095			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920392,-2.051111			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920416,-2.051128			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.92044,-2.051145			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920464,-2.051161			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920488,-2.051178			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920512,-2.051195			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920536,-2.051212			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.92056,-2.051228			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920584,-2.051245			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920608,-2.051262			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920632,-2.051278			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920656,-2.051295			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.92068,-2.051311			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920705,-2.051327			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920729,-2.051343			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920753,-2.051359			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920778,-2.051375			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920802,-2.051391			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
42.920826,-2.051407			http://gizakatea.gureeskudago.net/assets/images/free.png	4,4	-2,-2
