point	title	description	icon	iconSize	iconOffset
43.16643,-2.623699			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.165325,-2.621216			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.153479,-2.613145			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.148472,-2.609136			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.144267,-2.604496			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.137588,-2.596294			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.130561,-2.575082			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.130449,-2.565543			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.130738,-2.551191			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.130636,-2.550618			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.121661,-2.53201			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.118015,-2.531493			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.113516,-2.52922			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.112369,-2.517891			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.111272,-2.517745			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.108394,-2.508326			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.102215,-2.507751			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.089109,-2.496766			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.080303,-2.4985			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.075099,-2.498438			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.066637,-2.495698			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.066462,-2.487166			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.065827,-2.486428			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.068321,-2.476608			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.075209,-2.464588			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.080114,-2.448699			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.08029,-2.448202			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.086206,-2.440926			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.092021,-2.434973			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.099643,-2.429758			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.106596,-2.422525			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.112016,-2.416331			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.107396,-2.403108			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.106716,-2.400584			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.099686,-2.383494			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.096349,-2.37833			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.093632,-2.372509			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.091149,-2.36358			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.088104,-2.358897			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.086509,-2.343394			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.086139,-2.342091			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.07808,-2.327041			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.087786,-2.321183			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.089069,-2.316252			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.083762,-2.303888			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.080323,-2.296948			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.071158,-2.28719			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.069619,-2.285787			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.059583,-2.269657			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.059004,-2.268946			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.044453,-2.257367			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.043788,-2.256569			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.044899,-2.235967			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.04939,-2.230071			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.05084,-2.225897			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.046224,-2.215129			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.046526,-2.198747			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.046131,-2.194444			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.041183,-2.190198			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.033249,-2.186258			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.018999,-2.177042			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.017878,-2.176878			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.001914,-2.177323			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
43.001161,-2.177812			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.986858,-2.18118			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.977205,-2.181145			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.975766,-2.18184			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.967562,-2.177634			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.962557,-2.168372			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.957951,-2.156804			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
42.957299,-2.148544			http://gizakatea.gureeskudago.net/assets/images/free.png	12,12	-6,-6
